Ticker,Date,Open,High,Low,Close
DJUSBK,07/03/2019,448.92,448.92,448.92,448.92
DJUSBK,07/02/2019,447.91,447.91,447.91,447.91
DJUSBK,07/01/2019,451.08,451.08,451.08,451.08
DJUSBK,06/28/2019,445.99,445.99,445.99,445.99
DJUSBK,06/27/2019,436.04,436.04,436.04,436.04
DJUSBK,06/26/2019,432.24,432.24,432.24,432.24
DJUSBK,06/25/2019,430.68,430.68,430.68,430.68
DJUSBK,06/24/2019,433.08,433.08,433.08,433.08
DJUSBK,06/21/2019,435.94,435.94,435.94,435.94
DJUSBK,06/20/2019,435.93,435.93,435.93,435.93
DJUSBK,06/19/2019,435.17,435.17,435.17,435.17
DJUSBK,06/18/2019,438.73,438.73,438.73,438.73
DJUSBK,06/17/2019,431.09,431.09,431.09,431.09
DJUSBK,06/14/2019,435.69,435.69,435.69,435.69
DJUSBK,06/13/2019,433.96,433.96,433.96,433.96
DJUSBK,06/12/2019,432.82,432.82,432.82,432.82
DJUSBK,06/11/2019,438.65,438.65,438.65,438.65
DJUSBK,06/10/2019,436.37,436.37,436.37,436.37
DJUSBK,06/07/2019,430.67,430.67,430.67,430.67
DJUSBK,06/06/2019,434.74,434.74,434.74,434.74
DJUSBK,06/05/2019,434.14,434.14,434.14,434.14
DJUSBK,06/04/2019,433.74,433.74,433.74,433.74
DJUSBK,06/03/2019,418.58,418.58,418.58,418.58
DJUSBK,05/31/2019,415.73,415.73,415.73,415.73
DJUSBK,05/30/2019,422.39,422.39,422.39,422.39
DJUSBK,05/29/2019,427.81,427.81,427.81,427.81
DJUSBK,05/28/2019,427.98,427.98,427.98,427.98
DJUSBK,05/27/2019,433.27,433.27,433.27,433.27
DJUSBK,05/24/2019,433.27,433.27,433.27,433.27
DJUSBK,05/23/2019,428.47,428.47,428.47,428.47
DJUSBK,05/22/2019,436.56,436.56,436.56,436.56
DJUSBK,05/21/2019,440.34,440.34,440.34,440.34
DJUSBK,05/20/2019,436.27,436.27,436.27,436.27
DJUSBK,05/17/2019,435.26,435.26,435.26,435.26
DJUSBK,05/16/2019,437.96,437.96,437.96,437.96
DJUSBK,05/15/2019,432.99,432.99,432.99,432.99
DJUSBK,05/14/2019,437.35,437.35,437.35,437.35
DJUSBK,05/13/2019,433.07,433.07,433.07,433.07
DJUSBK,05/10/2019,448.86,448.86,448.86,448.86
DJUSBK,05/09/2019,447.99,447.99,447.99,447.99
DJUSBK,05/08/2019,449.05,449.05,449.05,449.05
DJUSBK,05/07/2019,451.51,451.51,451.51,451.51
DJUSBK,05/06/2019,460.81,460.81,460.81,460.81
DJUSBK,05/03/2019,463.47,463.47,463.47,463.47
DJUSBK,05/02/2019,459.95,459.95,459.95,459.95
DJUSBK,05/01/2019,457.3,457.3,457.3,457.3
DJUSBK,04/30/2019,461.53,461.53,461.53,461.53
DJUSBK,04/29/2019,462.57,462.57,462.57,462.57
DJUSBK,04/26/2019,456.62,456.62,456.62,456.62
DJUSBK,04/25/2019,452.46,452.46,452.46,452.46
DJUSBK,04/24/2019,452.38,452.38,452.38,452.38
DJUSBK,04/23/2019,452.96,452.96,452.96,452.96
DJUSBK,04/22/2019,450.07,450.07,450.07,450.07
DJUSBK,04/19/2019,451.06,451.06,451.06,451.06
DJUSBK,04/18/2019,451.06,451.06,451.06,451.06
DJUSBK,04/17/2019,453.51,453.51,453.51,453.51
DJUSBK,04/16/2019,449.14,449.14,449.14,449.14
DJUSBK,04/15/2019,442.84,442.84,442.84,442.84
DJUSBK,04/12/2019,446.87,446.87,446.87,446.87
DJUSBK,04/11/2019,436.55,436.55,436.55,436.55
DJUSBK,04/10/2019,434.65,434.65,434.65,434.65
DJUSBK,04/09/2019,432.87,432.87,432.87,432.87
DJUSBK,04/08/2019,438.19,438.19,438.19,438.19
DJUSBK,04/05/2019,436.79,436.79,436.79,436.79
DJUSBK,04/04/2019,437.75,437.75,437.75,437.75
DJUSBK,04/03/2019,434.24,434.24,434.24,434.24
DJUSBK,04/02/2019,432.57,432.57,432.57,432.57
DJUSBK,04/01/2019,431.54,431.54,431.54,431.54
DJUSBK,03/29/2019,419.31,419.31,419.31,419.31
DJUSBK,03/28/2019,419.07,419.07,419.07,419.07
DJUSBK,03/27/2019,414.2,414.2,414.2,414.2
DJUSBK,03/26/2019,415.82,415.82,415.82,415.82
DJUSBK,03/25/2019,409.31,409.31,409.31,409.31
DJUSBK,03/22/2019,411.32,411.32,411.32,411.32
